Module path:  Environments.NS_Reco NS_Reco
Dynamically loaded from:  <class 'Environments.NS_Reco.NS_Reco'>
Reward Amplitudes: [4.17022005e-01 7.20324493e-01 1.14374817e-04 3.02332573e-01
 1.46755891e-01] :: Avg 0.317309867282206 
Module path:  Src.Algorithms.ProOLS ProOLS
Dynamically loaded from:  <class 'Src.Algorithms.ProOLS.ProOLS'>
=====Configurations=====
 Namespace(NN_basis_dim='32', Policy_basis_dim='32', actor_lr=0.006330904637554062, algo_name='ProOLS', base=0, batch_size=1000, buffer_size=1000, debug=True, delta=1, entropy_lambda=0.05062512794041892, env_name='NS_Reco', experiment='NS_4d_', extrapolator_basis='Fourier', folder_suffix='Default', fourier_coupled=True, fourier_k=5, fourier_order=3, gamma=0.99, gauss_std=1.5, gpu=0, hyper='default', importance_clip=5.0, inc=1, log_output='term_file', max_episodes=1000, max_inner=20, max_steps=500, optim='rmsprop', oracle=-1, raw_basis=True, restore=False, save_count=100, save_model=True, seed=0, speed=4, state_lr=0.001, summary=True, swarm=False, timestamp='5|30|14:32:13')
Actions space: 5 :: State space: 1
State Low: tensor([0.]) :: State High: tensor([1.])
State features:  [('dummy_param', torch.Size([1]))]
Policy:  [('fc1.weight', torch.Size([5, 1])), ('fc1.bias', torch.Size([5]))]
0 :: Rewards -0.025 :: steps: 0.10 :: Time: 0.001(0.00586/step) :: Entropy : 0.000 :: Grads : [[], []]
10 :: Rewards -0.419 :: steps: 1.00 :: Time: 0.007(0.00714/step) :: Entropy : 0.000 :: Grads : [[0.0066364976, 0.0066364976], []]
20 :: Rewards -1.353 :: steps: 1.00 :: Time: 0.008(0.00834/step) :: Entropy : 0.000 :: Grads : [[0.011234453, 0.011234453], []]
30 :: Rewards -3.037 :: steps: 1.00 :: Time: 0.009(0.00863/step) :: Entropy : 0.000 :: Grads : [[0.02480958, 0.024809578], []]
40 :: Rewards -4.818 :: steps: 1.00 :: Time: 0.008(0.00830/step) :: Entropy : 0.000 :: Grads : [[0.12515627, 0.12515627], []]
50 :: Rewards -5.814 :: steps: 1.00 :: Time: 0.008(0.00839/step) :: Entropy : 0.000 :: Grads : [[0.013612127, 0.013612126], []]
60 :: Rewards -6.418 :: steps: 1.00 :: Time: 0.008(0.00841/step) :: Entropy : 0.000 :: Grads : [[0.049231526, 0.049231526], []]
70 :: Rewards -7.077 :: steps: 1.00 :: Time: 0.008(0.00847/step) :: Entropy : 0.000 :: Grads : [[0.017174214, 0.017174218], []]
80 :: Rewards -7.720 :: steps: 1.00 :: Time: 0.009(0.00861/step) :: Entropy : 0.000 :: Grads : [[0.054294497, 0.05429449], []]
90 :: Rewards -9.497 :: steps: 1.00 :: Time: 0.009(0.00876/step) :: Entropy : 0.000 :: Grads : [[0.007906782, 0.007906784], []]
100 :: Rewards -11.068 :: steps: 1.00 :: Time: 0.009(0.00873/step) :: Entropy : 0.000 :: Grads : [[0.021286845, 0.021286847], []]
110 :: Rewards -13.151 :: steps: 1.00 :: Time: 0.009(0.00890/step) :: Entropy : 0.000 :: Grads : [[0.0073775924, 0.007377592], []]
120 :: Rewards -16.596 :: steps: 1.00 :: Time: 0.009(0.00893/step) :: Entropy : 0.000 :: Grads : [[0.017200679, 0.017200677], []]
130 :: Rewards -20.656 :: steps: 1.00 :: Time: 0.009(0.00898/step) :: Entropy : 0.000 :: Grads : [[0.009339925, 0.009339925], []]
140 :: Rewards -24.386 :: steps: 1.00 :: Time: 0.009(0.00911/step) :: Entropy : 0.000 :: Grads : [[0.0019263005, 0.0019263008], []]
150 :: Rewards -27.651 :: steps: 1.00 :: Time: 0.009(0.00947/step) :: Entropy : 0.000 :: Grads : [[0.00057426107, 0.00057426107], []]
160 :: Rewards -29.266 :: steps: 1.00 :: Time: 0.009(0.00917/step) :: Entropy : 0.000 :: Grads : [[0.0023476807, 0.002347681], []]
170 :: Rewards -30.092 :: steps: 1.00 :: Time: 0.009(0.00925/step) :: Entropy : 0.000 :: Grads : [[0.029381942, 0.02938194], []]
180 :: Rewards -30.834 :: steps: 1.00 :: Time: 0.009(0.00932/step) :: Entropy : 0.000 :: Grads : [[0.0025363246, 0.0025363204], []]
190 :: Rewards -31.699 :: steps: 1.00 :: Time: 0.010(0.00970/step) :: Entropy : 0.000 :: Grads : [[0.024760718, 0.024760721], []]
200 :: Rewards -32.640 :: steps: 1.00 :: Time: 0.009(0.00947/step) :: Entropy : 0.000 :: Grads : [[0.0115523115, 0.011552315], []]
210 :: Rewards -33.488 :: steps: 1.00 :: Time: 0.010(0.00953/step) :: Entropy : 0.000 :: Grads : [[0.0017851949, 0.0017851951], []]
220 :: Rewards -34.170 :: steps: 1.00 :: Time: 0.010(0.00964/step) :: Entropy : 0.000 :: Grads : [[0.017737137, 0.017737139], []]
230 :: Rewards -34.582 :: steps: 1.00 :: Time: 0.010(0.00979/step) :: Entropy : 0.000 :: Grads : [[0.012014419, 0.012014426], []]
240 :: Rewards -34.647 :: steps: 1.00 :: Time: 0.010(0.00980/step) :: Entropy : 0.000 :: Grads : [[0.0005027203, 0.0005027206], []]
250 :: Rewards -34.647 :: steps: 1.00 :: Time: 0.010(0.00993/step) :: Entropy : 0.000 :: Grads : [[0.00045237047, 0.00045237056], []]
260 :: Rewards -34.647 :: steps: 1.00 :: Time: 0.010(0.01004/step) :: Entropy : 0.000 :: Grads : [[0.00075524574, 0.0007552458], []]
270 :: Rewards -34.815 :: steps: 1.00 :: Time: 0.010(0.01012/step) :: Entropy : 0.000 :: Grads : [[0.01321176, 0.013211774], []]
280 :: Rewards -35.155 :: steps: 1.00 :: Time: 0.010(0.01015/step) :: Entropy : 0.000 :: Grads : [[0.008257348, 0.008257347], []]
290 :: Rewards -36.001 :: steps: 1.00 :: Time: 0.010(0.01014/step) :: Entropy : 0.000 :: Grads : [[0.0019676776, 0.001967678], []]
300 :: Rewards -36.138 :: steps: 1.00 :: Time: 0.010(0.01020/step) :: Entropy : 0.000 :: Grads : [[0.0021727006, 0.0021727001], []]
310 :: Rewards -36.138 :: steps: 1.00 :: Time: 0.010(0.01035/step) :: Entropy : 0.000 :: Grads : [[0.001435538, 0.0014355386], []]
320 :: Rewards -36.138 :: steps: 1.00 :: Time: 0.011(0.01063/step) :: Entropy : 0.000 :: Grads : [[0.0024491516, 0.0024491516], []]
330 :: Rewards -36.414 :: steps: 1.00 :: Time: 0.011(0.01069/step) :: Entropy : 0.000 :: Grads : [[0.0007116163, 0.00071161723], []]
340 :: Rewards -37.962 :: steps: 1.00 :: Time: 0.011(0.01071/step) :: Entropy : 0.000 :: Grads : [[0.0120851295, 0.01208513], []]
350 :: Rewards -38.090 :: steps: 1.00 :: Time: 0.011(0.01098/step) :: Entropy : 0.000 :: Grads : [[0.004731716, 0.0047317185], []]
360 :: Rewards -38.834 :: steps: 1.00 :: Time: 0.011(0.01106/step) :: Entropy : 0.000 :: Grads : [[0.0009874181, 0.0009874182], []]
370 :: Rewards -38.873 :: steps: 1.00 :: Time: 0.011(0.01113/step) :: Entropy : 0.000 :: Grads : [[0.0009262554, 0.00092625554], []]
