Module path:  Environments.NS_Reco NS_Reco
Dynamically loaded from:  <class 'Environments.NS_Reco.NS_Reco'>
Reward Amplitudes: [4.17022005e-01 7.20324493e-01 1.14374817e-04 3.02332573e-01
 1.46755891e-01] :: Avg 0.317309867282206 
Module path:  Src.Algorithms.ProOLS ProOLS
Dynamically loaded from:  <class 'Src.Algorithms.ProOLS.ProOLS'>
=====Configurations=====
 Namespace(NN_basis_dim='32', Policy_basis_dim='32', actor_lr=0.0045712864064011045, algo_name='ProOLS', base=0, batch_size=1000, buffer_size=1000, debug=True, delta=3, entropy_lambda=0.04318892012402085, env_name='NS_Reco', experiment='NS_1d_', extrapolator_basis='Fourier', folder_suffix='Default', fourier_coupled=True, fourier_k=5, fourier_order=3, gamma=0.99, gauss_std=1.5, gpu=0, hyper='default', importance_clip=5.0, inc=1, log_output='term_file', max_episodes=1000, max_inner=60, max_steps=500, optim='rmsprop', oracle=-1, raw_basis=True, restore=False, save_count=100, save_model=True, seed=0, speed=1, state_lr=0.001, summary=True, swarm=False, timestamp='5|30|14:28:49')
Actions space: 5 :: State space: 1
State Low: tensor([0.]) :: State High: tensor([1.])
State features:  [('dummy_param', torch.Size([1]))]
Policy:  [('fc1.weight', torch.Size([5, 1])), ('fc1.bias', torch.Size([5]))]
0 :: Rewards -0.025 :: steps: 0.10 :: Time: 0.001(0.01031/step) :: Entropy : 0.000 :: Grads : [[], []]
10 :: Rewards -0.142 :: steps: 1.00 :: Time: 0.008(0.00751/step) :: Entropy : 0.000 :: Grads : [[0.0031696607, 0.0031696607], []]
20 :: Rewards -0.404 :: steps: 1.00 :: Time: 0.010(0.01022/step) :: Entropy : 0.000 :: Grads : [[0.0063136667, 0.0063136667], []]
30 :: Rewards -0.811 :: steps: 1.00 :: Time: 0.008(0.00768/step) :: Entropy : 0.000 :: Grads : [[0.009715612, 0.009715611], []]
40 :: Rewards -1.238 :: steps: 1.00 :: Time: 0.008(0.00792/step) :: Entropy : 0.000 :: Grads : [[0.030060789, 0.030060792], []]
50 :: Rewards -1.474 :: steps: 1.00 :: Time: 0.010(0.00999/step) :: Entropy : 0.000 :: Grads : [[0.010913612, 0.010913612], []]
60 :: Rewards -1.869 :: steps: 1.00 :: Time: 0.008(0.00752/step) :: Entropy : 0.000 :: Grads : [[0.010826125, 0.010826124], []]
70 :: Rewards -2.836 :: steps: 1.00 :: Time: 0.008(0.00760/step) :: Entropy : 0.000 :: Grads : [[0.0019137645, 0.0019137643], []]
80 :: Rewards -3.779 :: steps: 1.00 :: Time: 0.010(0.01014/step) :: Entropy : 0.000 :: Grads : [[0.0029569985, 0.002957], []]
90 :: Rewards -4.621 :: steps: 1.00 :: Time: 0.008(0.00771/step) :: Entropy : 0.000 :: Grads : [[0.020536501, 0.020536501], []]
100 :: Rewards -5.054 :: steps: 1.00 :: Time: 0.008(0.00782/step) :: Entropy : 0.000 :: Grads : [[0.0049696323, 0.0049696313], []]
