Module path:  Environments.NS_Reco NS_Reco
Dynamically loaded from:  <class 'Environments.NS_Reco.NS_Reco'>
Reward Amplitudes: [4.17022005e-01 7.20324493e-01 1.14374817e-04 3.02332573e-01
 1.46755891e-01] :: Avg 0.317309867282206 
Module path:  Src.Algorithms.ProOLS ProOLS
Dynamically loaded from:  <class 'Src.Algorithms.ProOLS.ProOLS'>
=====Configurations=====
 Namespace(NN_basis_dim='32', Policy_basis_dim='32', actor_lr=0.0013967975033711264, algo_name='ProOLS', base=0, batch_size=1000, buffer_size=1000, debug=True, delta=1, entropy_lambda=0.009309067356364342, env_name='NS_Reco', experiment='NS_0d_', extrapolator_basis='Fourier', folder_suffix='Default', fourier_coupled=True, fourier_k=5, fourier_order=3, gamma=0.99, gauss_std=1.5, gpu=0, hyper='default', importance_clip=15.0, inc=1, log_output='term_file', max_episodes=1000, max_inner=30, max_steps=500, optim='rmsprop', oracle=-1, raw_basis=True, restore=False, save_count=100, save_model=True, seed=0, speed=0, state_lr=0.001, summary=True, swarm=False, timestamp='5|30|14:25:50')
Actions space: 5 :: State space: 1
State Low: tensor([0.]) :: State High: tensor([1.])
State features:  [('dummy_param', torch.Size([1]))]
Policy:  [('fc1.weight', torch.Size([5, 1])), ('fc1.bias', torch.Size([5]))]
0 :: Rewards -0.745 :: steps: 0.10 :: Time: 0.001(0.00908/step) :: Entropy : 0.000 :: Grads : [[], []]
10 :: Rewards -3.833 :: steps: 1.00 :: Time: 0.011(0.01142/step) :: Entropy : 0.000 :: Grads : [[0.045797534, 0.045797534], []]
20 :: Rewards -6.315 :: steps: 1.00 :: Time: 0.013(0.01279/step) :: Entropy : 0.000 :: Grads : [[0.055094134, 0.055094134], []]
30 :: Rewards -9.067 :: steps: 1.00 :: Time: 0.013(0.01275/step) :: Entropy : 0.000 :: Grads : [[0.18749656, 0.18749654], []]
40 :: Rewards -12.869 :: steps: 1.00 :: Time: 0.012(0.01246/step) :: Entropy : 0.000 :: Grads : [[0.14781897, 0.14781897], []]
50 :: Rewards -17.562 :: steps: 1.00 :: Time: 0.012(0.01239/step) :: Entropy : 0.000 :: Grads : [[0.05285135, 0.05285135], []]
60 :: Rewards -20.696 :: steps: 1.00 :: Time: 0.012(0.01247/step) :: Entropy : 0.000 :: Grads : [[0.050855123, 0.05085513], []]
70 :: Rewards -23.565 :: steps: 1.00 :: Time: 0.013(0.01277/step) :: Entropy : 0.000 :: Grads : [[0.0844414, 0.0844414], []]
80 :: Rewards -27.152 :: steps: 1.00 :: Time: 0.013(0.01284/step) :: Entropy : 0.000 :: Grads : [[0.037412804, 0.037412815], []]
90 :: Rewards -29.776 :: steps: 1.00 :: Time: 0.013(0.01294/step) :: Entropy : 0.000 :: Grads : [[0.039921246, 0.03992125], []]
100 :: Rewards -31.681 :: steps: 1.00 :: Time: 0.013(0.01293/step) :: Entropy : 0.000 :: Grads : [[0.07228966, 0.07228967], []]
110 :: Rewards -31.681 :: steps: 1.00 :: Time: 0.013(0.01305/step) :: Entropy : 0.000 :: Grads : [[0.043612882, 0.04361288], []]
120 :: Rewards -32.115 :: steps: 1.00 :: Time: 0.013(0.01310/step) :: Entropy : 0.000 :: Grads : [[0.0136855915, 0.0136855915], []]
130 :: Rewards -33.374 :: steps: 1.00 :: Time: 0.013(0.01324/step) :: Entropy : 0.000 :: Grads : [[0.024661863, 0.024661861], []]
140 :: Rewards -34.640 :: steps: 1.00 :: Time: 0.013(0.01342/step) :: Entropy : 0.000 :: Grads : [[0.14055744, 0.14055742], []]
