Module path:  Environments.NS_Reco NS_Reco
Dynamically loaded from:  <class 'Environments.NS_Reco.NS_Reco'>
Reward Amplitudes: [4.17022005e-01 7.20324493e-01 1.14374817e-04 3.02332573e-01
 1.46755891e-01] :: Avg 0.317309867282206 
Module path:  Src.Algorithms.ProOLS ProOLS
Dynamically loaded from:  <class 'Src.Algorithms.ProOLS.ProOLS'>
=====Configurations=====
 Namespace(NN_basis_dim='32', Policy_basis_dim='32', actor_lr=0.006528973986480399, algo_name='ProOLS', base=0, batch_size=1000, buffer_size=1000, debug=True, delta=1, entropy_lambda=0.03442646767804006, env_name='NS_Reco', experiment='NS_3d_', extrapolator_basis='Fourier', folder_suffix='Default', fourier_coupled=True, fourier_k=7, fourier_order=3, gamma=0.99, gauss_std=1.5, gpu=0, hyper='default', importance_clip=5.0, inc=1, log_output='term_file', max_episodes=1000, max_inner=30, max_steps=500, optim='rmsprop', oracle=-1, raw_basis=True, restore=False, save_count=100, save_model=True, seed=0, speed=3, state_lr=0.001, summary=True, swarm=False, timestamp='5|30|14:31:18')
Actions space: 5 :: State space: 1
State Low: tensor([0.]) :: State High: tensor([1.])
State features:  [('dummy_param', torch.Size([1]))]
Policy:  [('fc1.weight', torch.Size([5, 1])), ('fc1.bias', torch.Size([5]))]
0 :: Rewards -0.025 :: steps: 0.10 :: Time: 0.001(0.00982/step) :: Entropy : 0.000 :: Grads : [[], []]
10 :: Rewards -0.343 :: steps: 1.00 :: Time: 0.012(0.01175/step) :: Entropy : 0.000 :: Grads : [[0.00638144, 0.00638144], []]
20 :: Rewards -0.846 :: steps: 1.00 :: Time: 0.014(0.01358/step) :: Entropy : 0.000 :: Grads : [[0.052190132, 0.052190132], []]
30 :: Rewards -1.256 :: steps: 1.00 :: Time: 0.013(0.01306/step) :: Entropy : 0.000 :: Grads : [[0.014036213, 0.014036213], []]
40 :: Rewards -1.256 :: steps: 1.00 :: Time: 0.012(0.01237/step) :: Entropy : 0.000 :: Grads : [[0.0004376295, 0.00043762964], []]
50 :: Rewards -1.256 :: steps: 1.00 :: Time: 0.013(0.01302/step) :: Entropy : 0.000 :: Grads : [[0.0004076034, 0.00040760342], []]
60 :: Rewards -1.256 :: steps: 1.00 :: Time: 0.013(0.01256/step) :: Entropy : 0.000 :: Grads : [[0.00025702472, 0.00025702472], []]
70 :: Rewards -1.256 :: steps: 1.00 :: Time: 0.015(0.01468/step) :: Entropy : 0.000 :: Grads : [[5.4716684e-06, 5.47167e-06], []]
80 :: Rewards -1.256 :: steps: 1.00 :: Time: 0.016(0.01627/step) :: Entropy : 0.000 :: Grads : [[2.1404752e-05, 2.140475e-05], []]
90 :: Rewards -1.256 :: steps: 1.00 :: Time: 0.014(0.01378/step) :: Entropy : 0.000 :: Grads : [[3.421539e-07, 3.4215395e-07], []]
100 :: Rewards -1.256 :: steps: 1.00 :: Time: 0.013(0.01314/step) :: Entropy : 0.000 :: Grads : [[2.6845166e-07, 2.6845163e-07], []]
